"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"SampleSize4ClinicalTrials","SampleSize4ClinicalTrials","Sample Size Calculation for Mean and Proportion Comparisons in","0.1.0","GPL-2","6.0.1",0,NA
"DES","DES","Discrete Event Simulation","1.0.0","MIT + file LICENSE",NA,2,NA
"googleComputeEngineR","googleComputeEngineR","R Interface with Google Compute Engine","0.1.0","MIT + file LICENSE","5.0.1",8,">= 3.3.0"
"MsdeParEst","MsdeParEst","Parametric Estimation in Mixed-Effects Stochastic Differential","1.7","GPL (>= 2)","6.0.1",6,">= 3.0.2"
"wildcard","wildcard","Templates for Data Frames","1.0.0","GPL (>= 3)","6.0.1",5,">= 3.0.0"
"AurieLSHGaussian","AurieLSHGaussian","Creates a Neighbourhood Using Locality Sensitive Hashing for","0.1.0","GPL-2","6.0.1",6,NA
"CATTexact","CATTexact","Computation of the p-Value for the Exact Conditional","0.1.0","GPL-2 | GPL-3","6.0.1",1,">= 3.4.1"
"gradientPickerD3","gradientPickerD3","Interactive Color Gradient Picker Using 'htmlwidgets' and the","0.1.0.0","GPL-3","6.0.1",3,">= 3.3.1"
"linemap","linemap","Line Maps","0.1.0","GPL-3","6.0.1",3,">= 2.10"
"MFT","MFT","The Multiple Filter Test for Change Point Detection","1.3","GPL-3","6.0.1",0,NA
"veccompare","veccompare","Perform Set Operations on Vectors, Automatically Generating All","0.1.0","BSD_3_clause + file LICENSE","6.0.1.9000",10,">= 2.10"
"CausalImpact","CausalImpact","Inferring Causal Effects using Bayesian Structural Time-Series","1.2.0","Apache License 2.0 | file LICENSE",NA,8,NA
"causalMGM","causalMGM","Causal Learning of Mixed Graphical Models","0.1.0","GPL-2",NA,1,">= 3.2.0"
"glassdoor","glassdoor","Interface to 'Glassdoor' API","0.7.6","GPL-2","6.0.1.9000",6,">= 3.1"
"ADPF","ADPF","Use Least Squares Polynomial Regression and Statistical Testing","0.0.1","GPL-3","6.0.1",2,">= 3.2.4"
"auto.pca","auto.pca","Automatic Variable Reduction Using Principal Component Analysis","0.3","GPL-2",NA,3,NA
"DCD","DCD","Differential Community Detection in Paired Biological Networks","0.1.0","GPL",NA,13,">= 3.4.0"
"medmod","medmod","Simple Mediation and Moderation Analysis","1.0.0","GPL (>= 2)","6.0.1",5,">= 3.2"
"PredPsych","PredPsych","Predictive Approaches in Psychology","0.1","GPL-3","5.0.1",11,">= 3.1.0"
"unifDAG","unifDAG","Uniform Sampling of Directed Acyclic Graphs","1.0.1","GPL (>= 2)",NA,7,NA
"GauPro","GauPro","Gaussian Process Fitting","0.1.0","GPL-3","5.0.1",6,NA
"nos","nos","Compute Node Overlap and Segregation in Ecological Networks","1.0.0","GPL-3","6.0.1",3,">= 3.3.0"
"opendotaR","opendotaR","Interface for OpenDota API","0.1.4","GPL","6.0.1",3,NA
"sutteForecastR","sutteForecastR","Forecasting Data using Alpha-Sutte Indicator","0.1","GPL (>= 2)",NA,4,">= 3.0.0"
"yuimaGUI","yuimaGUI","A Graphical User Interface for the 'yuima' Package","0.9.5","GPL-2",NA,9,">= 3.0.0"
"MTSYS","MTSYS","Methods in Mahalanobis-Taguchi (MT) System","1.0.0","MIT + file LICENSE","5.0.1",2,">= 2.10"
"CARS","CARS","Covariate Assisted Ranking and Screening for Large-Scale","0.1","MIT + file LICENSE","6.0.1",4,">= 3.2.2"
"fecR","fecR","Fishing Effort Calculator in R","0.0.1","EUPL","5.0.1",5,">= 3.3.2"
"GeoMongo","GeoMongo","Geospatial Queries Using 'PyMongo'","1.0.0","Apache License 2.0","6.0.1",8,">= 3.2.3"
"RTaxometrics","RTaxometrics","Taxometric Analysis","2.0","MIT + file LICENSE","6.0.1",0,NA
"distrr","distrr","Estimate and Manage Empirical Distributions","0.0.4","GPL-2","6.0.1",6,">= 3.1.2"
"repurrrsive","repurrrsive","Examples of Recursive Lists and Nested or Split Data Frames","0.1.0","CC0","6.0.1",9,">= 2.10"
"SMM","SMM","Simulation and Estimation of Multi-State Discrete-Time","1.0","GPL",NA,3,NA
"AWR","AWR","'AWS' Java 'SDK' for R","1.11.88","AGPL-3",NA,3,NA
"Bios2cor","Bios2cor","From Biological Sequences and Simulations to Correlation","1.1","GPL (>= 2)",NA,5,">= 3.1"
"cprr","cprr","Functions for Working with Danish CPR Numbers","0.1.1","GPL-3","6.0.1",1,">= 3.1.0"
"mapReasy","mapReasy","Producing Administrative Boundary Map with Additional Features","1.0","GPL-2",NA,3,">= 3.0.2"
"modelwordcloud","modelwordcloud","Model Word Clouds","0.1","LGPL-2.1","6.0.1",4,NA
"multilaterals","multilaterals","Transitive Index Numbers for Cross-Sections and Panel Data","1.0","GPL-3",NA,4,NA
"PakPMICS2014Ch","PakPMICS2014Ch","Multiple Indicator Cluster Survey (MICS) 2014 Child","0.1.0","GPL-2","6.0.1",2,">= 3.1"
"PakPMICS2014HH","PakPMICS2014HH","Multiple Indicator Cluster Survey (MICS) 2014 Household","0.1.0","GPL-2","6.0.1",2,">= 3.1"
"PakPMICS2014HL","PakPMICS2014HL","Multiple Indicator Cluster Survey (MICS) 2014 Household Listing","0.1.0","GPL-2","6.0.1",2,">= 3.1"
"PakPMICS2014Wm","PakPMICS2014Wm","Multiple Indicator Cluster Survey (MICS) 2014 Women","0.1.0","GPL-2","6.0.1",2,">= 3.1"
"unjoin","unjoin","Separate a Data Frame by Normalization","0.0.3","GPL-3","6.0.1",7,">= 3.3.2"
"csabounds","csabounds","Bounds on Distributional Treatment Effect Parameters","1.0.0","GPL-2","6.0.1",6,">= 3.0"
"FactorsR","FactorsR","Identification of the Factors Affecting Species Richness","1.1","GPL (>= 2)",NA,8,">= 3.0.0"
"madrat","madrat","May All Data be Reproducible and Transparent (MADRaT) *","1.8.0","BSD_2_clause + file LICENSE","6.0.1",7,">= 2.10.0"
"Ohit","Ohit","OGA+HDIC+Trim and High-Dimensional Linear Regression Models","1.0.0","GPL-2","6.0.1",1,NA
"TNC","TNC","Temporal Network Centrality (TNC) Measures","0.1.0","GPL-3","6.0.1",3,">= 3.4.1"
"UdderQuarterInfectionData","UdderQuarterInfectionData","Udder Quarter Infection Data","1.0.0","GPL-3","6.0.1",2,NA
"FuzzyNumbers.Ext.2","FuzzyNumbers.Ext.2","Apply Two Fuzzy Numbers on a Monotone Function","1.0","LGPL (>= 3)",NA,1,NA
"graphql","graphql","A GraphQL Query Parser","1.0","BSD_3_clause + file LICENSE","5.0.1.9000",3,NA
"RcextTools","RcextTools","Analytical Procedures in Support of Brazilian Public Sector","0.1.0","GPL (>= 2)","6.0.1",3,">= 2.10"
"VDSPCalibration","VDSPCalibration","Statistical Methods for Designing and Analyzing a Calibration","1.0","GPL",NA,0,NA
"billboard","billboard","Contains Data of Billboard Hot 100 Songs","0.1.0","MIT + file LICENSE","6.0.1",2,">= 2.10"
"BosonSampling","BosonSampling","Classical Boson Sampling","0.1.1","GPL-2",NA,3,NA
"cbanalysis","cbanalysis","Coffee Break Descriptive Analysis","0.1.0","GPL-2","6.0.1",0,NA
"dplyrAssist","dplyrAssist","RStudio Addin for Teaching and Learning Data Manipulation Using","0.1.0","GPL-3","6.0.1",14,NA
"freqdom.fda","freqdom.fda","Dynamic Functional Principal Components","0.9.1","GPL-3","6.0.1",8,">= 2.15.0"
"re2r","re2r","RE2 Regular Expression","0.2.0","BSD_3_clause + file LICENSE","6.0.1",12,">= 3.3"
"RGeode","RGeode","Geometric Density Estimation","0.1.0","GPL (>= 2)","6.0.1",4,">= 3.0.0"
"threshr","threshr","Threshold Selection and Uncertainty for Extreme Value Analysis","1.0.0","GPL (>= 2)","6.0.1",8,">= 3.3.1"
"alphavantager","alphavantager","Lightweight R Interface to the Alpha Vantage API","0.1.0","GPL (>= 3)","6.0.1",16,">= 3.4.0"
"doubcens","doubcens","Survivor Function Estimation for Doubly Interval-Censored","1.1","GPL-2","5.0.1.9000",0,">= 3.1.1"
"pcdpca","pcdpca","Dynamic Principal Components for Periodically Correlated","0.2.1","GPL-3","5.0.1.9000",2,">= 3.3.1"
"ShinyImage","ShinyImage","Image Manipulation, with an Emphasis on Journaling","0.1.0","MIT + file LICENSE",NA,6,NA
"AlphaVantageClient","AlphaVantageClient","Wrapper for Alpha Vantage API","0.0.1","MIT + file LICENSE","6.0.1",7,">= 3.2.1"
"BinarybalancedCut","BinarybalancedCut","Threshold Cut Point of Probability for a Binary Classifier Model","0.2","GPL-2",NA,3,NA
"afpt","afpt","Tools for Modelling of Animal Flight Performance","1.0.0","GPL (>= 3)",NA,5,">= 3.0.0"
"cr17","cr17","Testing Differences Between Competing Risks Models and Their","0.1.0","GPL","6.0.1",10,">= 3.3.2"
"DelayedEffect.Design","DelayedEffect.Design","Sample Size and Power Calculations using the APPLE and SEPPLE","0.0.4","GPL-2",NA,2,NA
"EcoIndR","EcoIndR","Ecological Indicators","1.0","GPL (>= 2)",NA,7,">= 3.1.1"
"Inflation","Inflation","Core Inflation","0.1.0","BSD_3_clause + file LICENSE","6.0.1",2,">= 3.3.1"
"jaod","jaod","Directory of Open Access Journals Client","0.1.0","MIT + file LICENSE","6.0.1",5,NA
"rDotNet","rDotNet","Low-Level Interface to the '.NET' Virtual Machine Along the","0.9.0","Apache License (== 2.0)",NA,2,NA
"ari","ari","Automated R Instructor","0.1.0","MIT + file LICENSE","6.0.1",12,">= 3.1.0"
"cdparcoord","cdparcoord","Top Frequency-Based Parallel Coordinates","1.0.0","GPL (>= 2)",NA,7,">= 3.2.0"
"npphen","npphen","Vegetation Phenological Cycle and Anomaly Detection using Remote","1.1-0","GPL (>= 3)","6.0.1.9000",12,">= 3.3.0"
"wktmo","wktmo","Converting Weekly Data to Monthly Data","1.0.1","GPL-2","6.0.1",0,">= 3.4.0"
"cenGAM","cenGAM","Censored Regression with Smooth Terms","0.5.3","GPL (>= 2)",NA,2,">= 3.2.5"
"deltar","deltar","Calculation of Delta R Values","1.0.0","GPL (>= 2)","6.0.1",1,">= 2.15.2"
"seedCCA","seedCCA","Seeded Canonical Correlation Analysis","1.0","GPL (>= 2.0)","6.0.1",4,">= 2.10.0"
"ebmc","ebmc","Ensemble-Based Methods for Class Imbalance Problem","1.0.0","GPL (>= 3)",NA,7,NA
"FPV","FPV","Testing Hypotheses via Fuzzy P-Value in Fuzzy Environment","0.5","LGPL (>= 3)",NA,2,NA
"LowWAFOMSobol","LowWAFOMSobol","Low WAFOM Sobol Sequence","1.0","BSD_3_clause + file LICENSE","6.0.1",6,NA
"mcompanion","mcompanion","Objects and Methods for Multi-Companion Matrices","0.4-5","GPL (>= 2)",NA,6,NA
"MTE","MTE","Maximum Tangent Likelihood and Other Robust Estimation for","1.0.0","GPL-3","6.0.1",3,">= 3.1.0"
"nomogramEx","nomogramEx","Extract Equations from a Nomogram","1.0","GPL-3",NA,2,">= 3.3.2"
"PeriodicTable","PeriodicTable","Periodic Table of the Elements","0.1.0","GPL","5.0.1",0,">= 3.3.1"
"sensitivitymult","sensitivitymult","Sensitivity Analysis for Observational Studies with Multiple","1.0.1","GPL-2",NA,1,NA
"caffsim","caffsim","Simulation of Plasma Caffeine Concentrations by Using Population","0.2.0","GPL-3 | file LICENSE","6.0.1",3,">= 3.3.2"
"ccmm","ccmm","Compositional Mediation Model","1.0","GPL (>= 2)",NA,1,NA
"dmutate","dmutate","Mutate Data Frames with Random Variates","0.1.1","GPL (>= 2)","5.0.1",2,NA
"PSIMEX","PSIMEX","SIMEX Algorithm on Pedigree Structures","1.0","GPL (>= 2)",NA,4,NA
"SpatialEpiApp","SpatialEpiApp","A Shiny Web Application for the Analysis of Spatial and","0.1","GPL-3","6.0.1",17,"*"
"LowWAFOMNX","LowWAFOMNX","Low WAFOM Niederreiter-Xing Sequence","1.0","BSD_3_clause + file LICENSE","6.0.1",6,NA
"prcr","prcr","Person-Centered Analysis","0.1.0","MIT + file LICENSE","6.0.1",6,NA
"accSDA","accSDA","Accelerated Sparse Discriminant Analysis","1.0.0","GPL (>= 2)","6.0.1",7,">= 3.2"
"Ecohydmod","Ecohydmod","Ecohydrological Modelling","1.0.0","GPL-2","6.0.1",2,NA
"mExplorer","mExplorer","Identifying Master Gene Regulators from Gene Expression and","1.0.0","GPL (>= 2)","6.0.1.9000",5,">= 3.0"
"multdyn","multdyn","Multiregression Dynamic Models","1.5.1","GPL-3","6.0.1",7,">= 3.2.0"
"noncomplyR","noncomplyR","Bayesian Analysis of Randomized Experiments with Non-Compliance","1.0","GPL-2","5.0.1",3,NA
"Strategy","Strategy","Generic Framework to Analyze Trading Strategies","1.0.0","GPL","5.0.1",8,">= 3.2.0"
"ActiveDriver","ActiveDriver","Finding Cancer Driver Proteins with Enriched Mutations in","1.0.0","GPL (>= 2)","6.0.1.9000",3,">= 3.0"
"genepop","genepop","Population Genetic Data Analysis Using Genepop","1.0","CeCILL-2","6.0.1",4,NA
"kntnr","kntnr","R Client for 'kintone' API","0.4.0","MIT + file LICENSE","5.0.1",12,NA
"macc","macc","Mediation Analysis of Causality under Confounding","1.0.0","GPL (>= 2)",NA,5,NA
"ConfigParser","ConfigParser","Package to Parse an INI File, Including Variable Interpolation","1.0.0","GPL-3","6.0.1.9000",3,">= 3.0.0"
"esreg","esreg","Joint Quantile and Expected Shortfall Regression","0.3.0","GPL-3","6.0.1",6,NA
"R2DGC","R2DGC","Multiple Peak Alignment for 2D Gas Chromatography Mass","1.0.3","MIT + file LICENSE","6.0.1",3,">= 3.0.0"
"simpleCache","simpleCache","Simply Caching R Objects","0.3.0","GPL-3","6.0.1",3,NA
"SLICER","SLICER","Selective Locally Linear Inference of Cellular Expression","0.2.0","ACM","6.0.1",8,">= 2.10"
"STARTdesign","STARTdesign","Single to Double Arm Transition Design for Phase II Clinical","1.0","GPL (>= 2)",NA,2,NA
"Wrapped","Wrapped","Computes Pdf, Cdf, Quantile, Random Numbers and Provides","1.0","GPL (>= 2)",NA,21,">= 3.0.1"
"InfoTrad","InfoTrad","Calculates the Probability of Informed Trading (PIN)","1.0","GPL-3",NA,0,NA
"ircor","ircor","Correlation Coefficients for Information Retrieval","1.0","MIT + file LICENSE","6.0.1",1,">= 3.2.0"
"GRCdata","GRCdata","Parameter Inference and Optimal Designs for Grouped and/or","1.0","GPL (>= 3)",NA,2,NA
"happybiRthday","happybiRthday","Calculate Upcoming Birthday Dates of Github Repos","0.0.1","MIT + file LICENSE","6.0.1",6,">= 3.3.3"
"ccRemover","ccRemover","Removes the Cell-Cycle Effect from Single-Cell RNA-Sequencing","1.0.1","GPL-3","6.0.1",4,">= 2.10.0"
"sasMap","sasMap","Static 'SAS' Code Analysis","1.0.0","MIT + file LICENSE","6.0.1",5,">= 3.2.4"
"CompDist","CompDist","Multisection Composite Distributions","1.0","GPL (>= 2)",NA,6,">= 3.3.0"
"forwards","forwards","Data from Surveys Conducted by Forwards","0.1.0","CC0","6.0.1",8,">= 2.10"
"gamCopula","gamCopula","Generalized Additive Models for Bivariate Conditional Dependence","0.0-2","GPL-3","5.0.1",14,">= 3.0.2"
"AssayCorrector","AssayCorrector","Detection and Correction of Spatial Bias in HTS Screens","1.1.3","GPL-3","5.0.1",3,">= 3.3.0"
"atlantistools","atlantistools","Process and Visualise Output from Atlantis Models","0.4.1","GPL-3","6.0.1",20,">= 3.2.3"
"IceCast","IceCast","Apply Statistical Post-Processing to Improve Sea Ice Predictions","1.1.0","GPL (>= 2)","6.0.1",12,">= 2.10"
"ggquiver","ggquiver","Quiver Plots for 'ggplot2'","0.1.0","GPL-3","6.0.1.9000",5,">= 3.2.0"
"GrpString","GrpString","Patterns and Statistical Differences Between Two Groups of","0.1.0","GPL-2","5.0.1",4,">= 3.0.1"
"LBSPR","LBSPR","Length-Based Spawning Potential Ratio","0.1.0","GPL-3","5.0.1",12,">= 3.2.4"
"PeakSegDP","PeakSegDP","Dynamic Programming Algorithm for Peak Detection in ChIP-Seq","2017.06.20","GPL-3",NA,3,">= 2.10"
"samon","samon","Sensitivity Analysis for Missing Data","4.0.0","GPL-2",NA,0,">= 2.10"
"SorptionAnalysis","SorptionAnalysis","Static Adsorption Experiment Plotting and Analysis","0.1.0","GPL-2","6.0.1",0,NA
"CIplot","CIplot","Functions to Plot Confidence Interval","1.0","GPL (>= 2)","6.0.1",5,NA
"ConfoundedMeta","ConfoundedMeta","Sensitivity Analyses for Unmeasured Confounding in Meta-Analyses","1.0.0","GPL-2","6.0.1",3,NA
"fastJT","fastJT","Efficient Jonckheere-Terpstra Test Statistics for Robust Machine","1.0.1","GPL (>= 2)",NA,3,NA
"lmmen","lmmen","Linear Mixed Model Elastic Net","1.0","GPL-2 | GPL-3","6.0.1",8,">= 3.3.2"
"tsiR","tsiR","An Implementation of the TSIR Model","0.1.0","GPL-3","5.0.1",4,">= 3.1.0"
"rdpla","rdpla","Client for the Digital Public Library of America ('DPLA')","0.1.0","MIT + file LICENSE","5.0.1",11,NA
"dataMeta","dataMeta","Create and Append a Data Dictionary for an R Dataset","0.1.0","GPL-3","6.0.1",3,">= 3.3.2"
"IAbin","IAbin","Plotting N-T Plane for Decision on Performing an Interim","1.0","GPL (>= 2)","6.0.1",5,NA
"rasterList","rasterList","A Raster Where Cells are Generic Objects","0.5.8","GPL (>= 3)","5.0.1",6,">= 3.0.1"
"rcv","rcv","Ranked Choice Voting","0.2.0","MIT + file LICENSE","6.0.1",10,">= 3.3.3"
"valaddin","valaddin","Functional Input Validation","0.1.0","MIT + file LICENSE","6.0.1",7,">= 3.1.0"
"vanddraabe","vanddraabe","Identification and Statistical Analysis of Conserved Waters in","1.0.0","MIT + file LICENSE","6.0.1",10,">= 3.3.3"
"vocaldia","vocaldia","Create and Manipulate Vocalisation Diagrams","0.8.0","GPL-3","6.0.1.9000",3,">= 3.0.0"
"GEint","GEint","Misspecified Models for Gene-Environment Interaction","0.1.1","GPL-3","5.0.1",9,NA
"IPMRF","IPMRF","Intervention in Prediction Measure (IPM) for Random Forests","1.0","GPL-3",NA,4,NA
"poker","poker","Play Texas Hold Em Poker","0.8.8","GPL-2","6.0.1",0,NA
"PsyControl","PsyControl","CUSUM Person Fit Statistics","1.0.0.0","GPL-2","6.0.1",4,">= 3.3.3"
"kangar00","kangar00","Kernel Approaches for Nonlinear Genetic Association Regression","1.0","GPL-2","6.0.1",11,">= 3.1.0"
"OHPL","OHPL","Ordered Homogeneity Pursuit Lasso for Group Variable Selection","1.2","GPL-3 | file LICENSE","5.0.1",3,">= 3.0.2"
"blink","blink","Record Linkage for Empirically Motivated Priors","0.1.0","GPL-3","6.0.1",6,">= 3.2.4"
"default","default","Change the Default Arguments in R Functions","1.0.0","MIT + file LICENSE","6.0.1",1,NA
"multiCA","multiCA","Multinomial Cochran-Armitage Trend Test","1.0","GPL (>= 2)","5.0.1",2,">= 2.10"
"permGS","permGS","Permutational Group Sequential Test for Time-to-Event Data","0.2.3","GPL-3 | file LICENSE","5.0.1",5,NA
"statesRcontiguous","statesRcontiguous","Shapefiles for the Contiguous United States of America","0.1.0","MIT + file LICENSE","6.0.1",8,">= 3.1.2"
"restfulr","restfulr","R Interface to RESTful Web Services","0.0.8","Artistic-2.0",NA,9,NA
"ggversa","ggversa","Graficas Versatiles Con 'ggplot2'","0.0.1","GPL-2","6.0.1",0,NA
"italy","italy","The Italian Survey on Household and Wealth, 2008 and 2010","0.1.0","CC0","5.0.1.9000",0,">= 3.3.1"
"equaltestMI","equaltestMI","Examine Measurement Invariance via Equivalence Testing and","0.1.0","GPL-3","6.0.1",7,">= 3.1.0"
"GFA","GFA","Group Factor Analysis","1.0.0","MIT + file LICENSE",NA,0,NA
"metaBMA","metaBMA","Bayesian Model Averaging for Random and Fixed Effects","0.3.8","GPL-3","6.0.1",7,">= 3.0.0"
"RcppXPtrUtils","RcppXPtrUtils","XPtr Add-Ons for 'Rcpp'","0.1.0","MIT + file LICENSE","6.0.1",3,">= 3.0.0"
"soilcarbon","soilcarbon","Tools to Analyze Soil Carbon Database Created by Powell Center","1.0.0","GPL-2","6.0.1",6,">= 3.3.2"
"SpatialAcc","SpatialAcc","Spatial Accessibility Measures","0.1","GPL (>= 2)",NA,1,">= 3.3"
"banR","banR","R Client for the BAN API","0.2.0","GPL-3","6.0.1",12,">= 2.10"
"cranlike","cranlike","Tools for 'CRAN'-Like Repositories","1.0.0","GPL (>= 2)","6.0.1",11,NA
"echogram","echogram","Echogram Visualisation and Analysis","0.1.0","GPL-3",NA,2,">= 3.0.0"
"EMAtools","EMAtools","Data Management Tools for Real-Time Monitoring/Ecological","0.1.0","MIT + file LICENSE","6.0.1",1,NA
"ggsignif","ggsignif","Significance Bars for 'ggplot2'","0.1.0","GPL-3","6.0.1",4,NA
"lmmpar","lmmpar","Parallel Linear Mixed Model","0.1.0","MIT + file LICENSE","6.0.1",7,">= 3.2.2"
"multistate","multistate","Fitting Multistate Models","0.2","GPL (>= 2)",NA,4,">= 2.10"
"rddensity","rddensity","Manipulation Testing Based on Density Discontinuity","0.1","GPL-2","6.0.1",0,">= 3.1.0"
"svenssonm","svenssonm","Svensson's Method","0.1.0","GPL-3","6.0.1",0,NA
"ambhasGW","ambhasGW","Ground Water Modelling","0.0.1","GPL (>= 3)","6.0.1.9000",4,">= 3.2.3"
"GreedyEPL","GreedyEPL","Greedy Expected Posterior Loss","1.0","GPL-3",NA,3,NA
"IrishDirectorates","IrishDirectorates","Irish Companies' Boards from 2003 to 2013","0.1.0","GPL-3",NA,0,NA
"MixtureRegLTIC","MixtureRegLTIC","Fit Mixture Regression Models for Left-Truncated and","0.9.4","GPL-2 | GPL-3",NA,4,">= 3.3.1"
"rtimicropem","rtimicropem","Supports the Analysis of RTI MicroPEM Output Files","1.3","GPL (>= 2)","6.0.1",18,">= 3.3.1"
"subgroup.discovery","subgroup.discovery","Subgroup Discovery and Bump Hunting","0.1.3","GPL-3","6.0.1",1,">= 2.10"
"tbl2xts","tbl2xts","Convert Tibbles or Data Frames to Xts Easily","0.1.0","GPL-3","6.0.0",7,">= 3.2.1"
"ThermIndex","ThermIndex","Calculate Thermal Indexes","0.1.0","GPL (>= 2)","6.0.1",0,NA
"dejaVu","dejaVu","Multiple Imputation for Recurrent Events","0.2.0","GPL (>= 2)","6.0.1",4,">= 3.1.0"
"DoEstRare","DoEstRare","Rare Variant Association Test Based on Position Density","0.2","GPL (>= 2)",NA,0,">= 2.15"
"fasjem","fasjem","A Fast and Scalable Joint Estimator for Learning Multiple","1.0.0","GPL-2",NA,0,">= 3.0.0"
"glmnetUtils","glmnetUtils","Utilities for 'Glmnet'","1.0.0","GPL-2","5.0.1",11,NA
"kpmt","kpmt","Known Population Median Test","0.1.0","MIT + file LICENSE","6.0.1",4,">= 2.10"
"structree","structree","Tree-Structured Clustering","1.1.3","GPL-2","5.0.1",4,NA
"nonlinearICP","nonlinearICP","Invariant Causal Prediction for Nonlinear Models","0.1.2","GPL","6.0.1",6,">= 3.1.0"
"fChange","fChange","Change Point Analysis in Functional Data","0.1.0","MIT + file LICENSE","6.0.1",7,">= 2.10"
"rclipboard","rclipboard","Shiny/R Wrapper for 'clipboard.js'","0.1","MIT + file LICENSE",NA,1,">= 3.3.0"
"RkMetrics","RkMetrics","Hybrid Mortality Estimation","1.1","GPL-3","6.0.1",0,">= 3.4.0"
"CDVineCopulaConditional","CDVineCopulaConditional","Sampling from Conditional C- and D-Vine Copulas","0.1.0","GPL (>= 2)","5.0.1",5,">= 2.10"
